kusini,"['ku', 'si', 'n', 'i']"
wanapokuwa,"['wa', 'na', 'po', 'ku', 'w', 'a']"
likijaa,"['li', 'ki', 'ja', 'ja', 'a']"
kujazwa,"['ku', 'ja', 'ja', 'zw', 'a']"
wakishikana,"['wa', 'ki', 'shika', 'shika', 'n', 'a']"
kijani,"['ki', 'ja', 'ja', 'n', 'i']"
zitokanazo,"['zi', 'toka', 'toka', 'n', 'a', 'zo']"
kusamehewa,"['ku', 'samehe', 'samehe', 'w', 'a']"
inayoendana,"['i', 'na', 'yo', 'enda', 'enda', 'n', 'a']"
tutakaa,"['tu', 'taka', 'a']"
kuukosa,"['ku', 'u', 'ko', 'ko', 's', 'a']"
tulikutana,"['tu', 'li', 'kuta', 'kuta', 'n', 'a']"
alikokuwa,"['a', 'li', 'ko', 'ku', 'w', 'a']"
amekosa,"['a', 'me', 'ko', 'ko', 's', 'a']"
aziza,"['a', 'zi', 'z', 'a']"
anauza,"['a', 'na', 'u', 'z', 'a']"
waliyokubaliana,"['wa', 'li', 'yo', 'kubali', 'kubali', 'an', 'a']"
aliyetuma,"['a', 'li', 'ye', 'tu', 'm', 'a']"
aliishi,"['a', 'li', 'i', 'sh', 'i']"
kimiani,"['ki', 'm', 'i', 'a', 'ni']"
ajizi,"['a', 'ji', 'z', 'i']"
ametuma,"['a', 'me', 'tu', 'm', 'a']"
inayosadikiwa,"['i', 'na', 'yo', 'sadiki', 'sadiki', 'w', 'a']"
hamza,"['ha', 'm', 'z', 'a']"
kimeitaka,"['ki', 'me', 'ita', 'ita', 'k', 'a']"
zimeliwa,"['zi', 'me', 'li', 'w', 'a']"
wataliwa,"['wa', 'ta', 'li', 'w', 'a']"
kutiliana,"['ku', 'tilia', 'tilia', 'n', 'a']"
wanawe,"['wa', 'na', 'w', 'e']"
itakaa,"['i', 'taka', 'a']"
wakina,"['wa', 'ki', 'n', 'a']"
kuilaani,"['ku', 'i', 'la', 'la', 'an', 'i']"
unakoma,"['u', 'na', 'ko', 'ko', 'm', 'a']"
wabadilike,"['wa', 'badili', 'badili', 'k', 'e']"
wakisafiria,"['wa', 'ki', 'safiri', 'safiri', 'a']"
anasadikiwa,"['a', 'na', 'sadiki', 'sadiki', 'w', 'a']"
kumnasa,"['ku', 'm', 'na', 'na', 's', 'a']"
unaoishia,"['u', 'na', 'o', 'ishi', 'ishi', 'a']"
zilizouzwa,"['zi', 'li', 'zo', 'u', 'zw', 'a']"
kumetokana,"['ku', 'me', 'toka', 'toka', 'n', 'a']"
kujaa,"['ku', 'ja', 'ja', 'a']"
mtasiwa,"['m', 'ta', 'si', 'si', 'w', 'a']"
zimesalia,"['zi', 'me', 'sali', 'sali', 'a']"
wanaokiuka,"['wa', 'na', 'o', 'ki', 'uk', 'a']"
wamezoea,"['wa', 'me', 'zo', 'e', 'a']"
wanaokaa,"['wa', 'na', 'oka', 'oka', 'a']"
hakukubaliana,"['ha', 'ku', 'kubali', 'kubali', 'an', 'a']"
alizomewa,"['a', 'li', 'zo', 'm', 'ew', 'a']"
haijaisha,"['ha', 'i', 'ja', 'i', 'sh', 'a']"
yasini,"['ya', 'si', 'n', 'i']"
hutokana,"['hu', 'toka', 'toka', 'n', 'a']"
ilibadilika,"['i', 'li', 'badili', 'badili', 'k', 'a']"
halaiki,"['ha', 'la', 'la', 'ik', 'i']"
waliokolewa,"['wa', 'li', 'o', 'ko', 'ko', 'lew', 'a']"
wakabaki,"['wa', 'kaba', 'kaba', 'k', 'i']"
kiimani,"['ki', 'i', 'm', 'a', 'ni']"
ziliuzwa,"['zi', 'li', 'u', 'zw', 'a']"
iliuzwa,"['i', 'li', 'u', 'zw', 'a']"
kitakutana,"['ki', 'ta', 'kuta', 'kuta', 'n', 'a']"
zinazouzwa,"['zi', 'na', 'zo', 'u', 'zw', 'a']"
inayouzwa,"['i', 'na', 'yo', 'u', 'zw', 'a']"
ameungana,"['a', 'me', 'unga', 'unga', 'n', 'a']"
kuwakataa,"['ku', 'wa', 'kata', 'kata', 'a']"
hukosa,"['hu', 'ko', 'ko', 's', 'a']"
wanao,"['wa', 'n', 'a', 'o']"
kumejaa,"['ku', 'me', 'ja', 'ja', 'a']"
tunayoishi,"['tu', 'na', 'yo', 'i', 'sh', 'i']"
waliozaliwa,"['wa', 'li', 'oza', 'oza', 'liw', 'a']"
kiliani,"['ki', 'li', 'an', 'i']"
wamehifadhiwa,"['wa', 'me', 'hifadhi', 'hifadhi', 'w', 'a']"
wajane,"['wa', 'ja', 'ja', 'n', 'e']"
ameongozana,"['a', 'me', 'ongoza', 'ongoza', 'n', 'a']"
vichwani,"['vi', 'chwa', 'chwa', 'n', 'i']"
wanase,"['wa', 'na', 's', 'e']"
kutapakaa,"['ku', 'ta', 'paka', 'paka', 'a']"
kupotezana,"['ku', 'poteza', 'poteza', 'n', 'a']"
kilipokuwa,"['ki', 'li', 'po', 'ku', 'w', 'a']"
akikutana,"['a', 'ki', 'kuta', 'kuta', 'n', 'a']"
hakukua,"['ha', 'ku', 'ku', 'a']"
azizi,"['a', 'zi', 'z', 'i']"
wanaimani,"['wa', 'na', 'i', 'm', 'a', 'ni']"
kusiwe,"['ku', 'si', 'w', 'e']"
kukawa,"['ku', 'ka', 'w', 'a']"
kupashana,"['ku', 'pa', 'shan', 'a']"
alipolazwa,"['a', 'li', 'po', 'la', 'la', 'zw', 'a']"
nyasa,"['nya', 'nya', 's', 'a']"
hatukubaliani,"['ha', 'tu', 'kubali', 'kubali', 'an', 'i']"
zimehifadhiwa,"['zi', 'me', 'hifadhi', 'hifadhi', 'w', 'a']"
kujirudia,"['ku', 'ji', 'rudi', 'rudi', 'a']"
atahitajika,"['a', 'ta', 'hitaji', 'hitaji', 'k', 'a']"
hawaishi,"['ha', 'wa', 'i', 'sh', 'i']"
ameona,"['a', 'me', 'o', 'n', 'a']"
unaotaka,"['u', 'na', 'ota', 'ota', 'k', 'a']"
kugombana,"['ku', 'gomba', 'gomba', 'n', 'a']"
imekua,"['i', 'me', 'ku', 'a']"
ilibadilisha,"['i', 'li', 'badili', 'badili', 'sh', 'a']"
lilikataliwa,"['li', 'li', 'kata', 'kata', 'liw', 'a']"
tuliongozana,"['tu', 'li', 'ongoza', 'ongoza', 'n', 'a']"
walipingana,"['wa', 'li', 'pinga', 'pinga', 'n', 'a']"
kilichotokana,"['ki', 'li', 'cho', 'toka', 'toka', 'n', 'a']"
wanazo,"['wa', 'n', 'a', 'zo']"
kujuana,"['ku', 'jua', 'jua', 'n', 'a']"
vilivyotokana,"['vi', 'li', 'vyo', 'toka', 'toka', 'n', 'a']"
wanaogawa,"['wa', 'na', 'oga', 'oga', 'w', 'a']"
kuingiliana,"['ku', 'ingilia', 'ingilia', 'n', 'a']"
alilia,"['a', 'li', 'li', 'a']"
lilivyokuwa,"['li', 'li', 'vyo', 'ku', 'w', 'a']"
waliungana,"['wa', 'li', 'unga', 'unga', 'n', 'a']"
wanajuana,"['wa', 'na', 'jua', 'jua', 'n', 'a']"
wanafikiria,"['wa', 'na', 'fikiri', 'fikiri', 'a']"
mungai,"['m', 'unga', 'unga', 'i']"
zikawa,"['zi', 'ka', 'w', 'a']"
kuvaana,"['ku', 'vaa', 'vaa', 'n', 'a']"
alipotua,"['a', 'li', 'po', 'tu', 'a']"
walipokutana,"['wa', 'li', 'po', 'kuta', 'kuta', 'n', 'a']"
wapingane,"['wa', 'pinga', 'pinga', 'n', 'e']"
inaona,"['i', 'na', 'o', 'n', 'a']"
mlawa,"['m', 'la', 'la', 'w', 'a']"
kukulia,"['ku', 'ku', 'li', 'a']"
zinazofaa,"['zi', 'na', 'zo', 'fa', 'fa', 'a']"
kimea,"['ki', 'me', 'a']"
tunaishi,"['tu', 'na', 'i', 'sh', 'i']"
kunasa,"['ku', 'na', 's', 'a']"
ameshawishika,"['a', 'me', 'shawishi', 'shawishi', 'k', 'a']"
hatakuwa,"['ha', 'ta', 'ku', 'w', 'a']"
wasiotaka,"['wa', 'si', 'ota', 'ota', 'k', 'a']"
tutakapokuwa,"['tu', 'taka', 'po', 'ku', 'w', 'a']"
pauni,"['pa', 'u', 'n', 'i']"
kuuma,"['ku', 'u', 'm', 'a']"
yanavyokuwa,"['ya', 'na', 'vyo', 'ku', 'w', 'a']"
anapoishi,"['a', 'na', 'po', 'i', 'sh', 'i']"
zinakuwa,"['zi', 'na', 'ku', 'w', 'a']"
inabadilika,"['i', 'na', 'badili', 'badili', 'k', 'a']"
watakutana,"['wa', 'ta', 'kuta', 'kuta', 'n', 'a']"
wamepania,"['wa', 'me', 'pa', 'ni', 'ni', 'a']"
inafaa,"['i', 'na', 'fa', 'fa', 'a']"
watakao,"['wa', 'ta', 'k', 'a', 'o']"
unaodaiwa,"['u', 'na', 'o', 'dai', 'dai', 'w', 'a']"
kurudiwa,"['ku', 'rudi', 'rudi', 'w', 'a']"
imebakia,"['i', 'me', 'baki', 'baki', 'a']"
mnakubaliana,"['m', 'na', 'kubali', 'kubali', 'an', 'a']"
amepania,"['a', 'me', 'pa', 'ni', 'ni', 'a']"
mlikuwa,"['m', 'li', 'ku', 'w', 'a']"
wakatae,"['wa', 'kata', 'kata', 'e']"
atakaa,"['a', 'taka', 'a']"
ulipokuwa,"['u', 'li', 'po', 'ku', 'w', 'a']"
kuwaza,"['ku', 'wa', 'z', 'a']"
ilitua,"['i', 'li', 'tu', 'a']"
imetua,"['i', 'me', 'tu', 'a']"
atakapokuwa,"['a', 'taka', 'po', 'ku', 'w', 'a']"
alikolazwa,"['a', 'li', 'ko', 'la', 'la', 'zw', 'a']"
mkoni,"['m', 'ko', 'ko', 'n', 'i']"
hazitakiwi,"['ha', 'zi', 'ta', 'ki', 'w', 'i']"
viapo,"['vi', 'a', 'po']"
ikikosa,"['i', 'ki', 'ko', 'ko', 's', 'a']"
itakosa,"['i', 'ta', 'ko', 'ko', 's', 'a']"
kumkosa,"['ku', 'm', 'ko', 'ko', 's', 'a']"
yaishe,"['ya', 'i', 'sh', 'e']"
kinakuwa,"['ki', 'na', 'ku', 'w', 'a']"
kuchambuana,"['ku', 'chambua', 'chambua', 'n', 'a']"
pamekuwa,"['pa', 'me', 'ku', 'w', 'a']"
akifuatana,"['a', 'ki', 'fuata', 'fuata', 'n', 'a']"
kumrudisha,"['ku', 'm', 'rudi', 'rudi', 'sh', 'a']"
amemua,"['a', 'me', 'm', 'u', 'a']"
mchaka,"['m', 'cha', 'cha', 'k', 'a']"
kupaa,"['ku', 'pa', 'a']"
kinachotaka,"['ki', 'na', 'chota', 'chota', 'k', 'a']"
inayokubalika,"['i', 'na', 'yo', 'kubali', 'kubali', 'k', 'a']"
kujawa,"['ku', 'ja', 'ja', 'w', 'a']"
uchawi,"['u', 'cha', 'cha', 'w', 'i']"
haiendani,"['ha', 'i', 'enda', 'enda', 'n', 'i']"
anazodaiwa,"['a', 'na', 'zo', 'dai', 'dai', 'w', 'a']"
kukuna,"['ku', 'ku', 'n', 'a']"
ilikaa,"['i', 'lika', 'lika', 'a']"
wamelewa,"['wa', 'me', 'lew', 'a']"
imezama,"['i', 'meza', 'meza', 'm', 'a']"
waliamini,"['wa', 'lia', 'lia', 'm', 'i', 'ni']"
kufikiriwa,"['ku', 'fikiri', 'fikiri', 'w', 'a']"
rudisha,"['rudi', 'rudi', 'sh', 'a']"
unauma,"['u', 'na', 'u', 'm', 'a']"
yamkini,"['ya', 'm', 'k', 'i', 'ni']"
amekua,"['a', 'me', 'ku', 'a']"
umejaa,"['u', 'me', 'ja', 'ja', 'a']"
vilikiuka,"['vi', 'li', 'ki', 'uk', 'a']"
halitakuwa,"['ha', 'li', 'ta', 'ku', 'w', 'a']"
mumbai,"['m', 'umba', 'umba', 'i']"
huishia,"['hu', 'ishi', 'ishi', 'a']"
hamna,"['ha', 'm', 'n', 'a']"
watulie,"['wa', 'tu', 'li', 'e']"
hukutana,"['hu', 'kuta', 'kuta', 'n', 'a']"
kulitokana,"['ku', 'li', 'toka', 'toka', 'n', 'a']"
tulikaa,"['tu', 'lika', 'lika', 'a']"
hawafai,"['ha', 'wa', 'fa', 'fa', 'i']"
utume,"['u', 'tu', 'm', 'e']"
lishe,"['li', 'sh', 'e']"
imebadilika,"['i', 'me', 'badili', 'badili', 'k', 'a']"
ubadilike,"['u', 'badili', 'badili', 'k', 'e']"
halikubaliki,"['ha', 'li', 'kubali', 'kubali', 'k', 'i']"
unapingana,"['u', 'na', 'pinga', 'pinga', 'n', 'a']"
zimebakia,"['zi', 'me', 'baki', 'baki', 'a']"
kilimani,"['ki', 'li', 'm', 'an', 'i']"
akataka,"['a', 'kata', 'kata', 'k', 'a']"
asimilia,"['a', 'si', 'm', 'ili', 'a']"
vinavyokiuka,"['vi', 'na', 'vyo', 'ki', 'uk', 'a']"
zilizohifadhiwa,"['zi', 'li', 'zo', 'hifadhi', 'hifadhi', 'w', 'a']"
kinachohitajika,"['ki', 'na', 'cho', 'hitaji', 'hitaji', 'k', 'a']"
tunaungana,"['tu', 'na', 'unga', 'unga', 'n', 'a']"
kubebana,"['ku', 'beba', 'beba', 'n', 'a']"
kujazana,"['ku', 'jaza', 'jaza', 'n', 'a']"
kuajiriwa,"['ku', 'ajiri', 'ajiri', 'w', 'a']"
kubatilisha,"['ku', 'batili', 'batili', 'sh', 'a']"
ajulikanaye,"['a', 'julikana', 'julikana', 'y', 'e']"
aliokoa,"['a', 'li', 'o', 'ko', 'ko', 'a']"
kuikataa,"['ku', 'i', 'kata', 'kata', 'a']"
waliokutana,"['wa', 'li', 'o', 'kuta', 'kuta', 'n', 'a']"
watakosa,"['wa', 'ta', 'ko', 'ko', 's', 'a']"
kilikua,"['ki', 'li', 'ku', 'a']"
ukazi,"['u', 'ka', 'z', 'i']"
inasubiriwa,"['i', 'na', 'subiri', 'subiri', 'w', 'a']"
wanaokubalika,"['wa', 'na', 'o', 'kubali', 'kubali', 'k', 'a']"
tukaona,"['tu', 'ka', 'o', 'n', 'a']"
wanawaza,"['wa', 'na', 'wa', 'z', 'a']"
mkasi,"['m', 'ka', 's', 'i']"
tulikubaliana,"['tu', 'li', 'kubali', 'kubali', 'an', 'a']"
uliza,"['u', 'li', 'z', 'a']"
wanaowania,"['wa', 'na', 'o', 'wa', 'ni', 'ni', 'a']"
analia,"['a', 'na', 'li', 'a']"
hawatabadilika,"['ha', 'wa', 'ta', 'badili', 'badili', 'k', 'a']"
mkosi,"['m', 'ko', 'ko', 's', 'i']"
havikuwa,"['ha', 'vi', 'ku', 'w', 'a']"
ukawa,"['u', 'ka', 'w', 'a']"
havifai,"['ha', 'vi', 'fa', 'fa', 'i']"
vinafaa,"['vi', 'na', 'fa', 'fa', 'a']"
utakao,"['u', 'ta', 'k', 'a', 'o']"
wanalaani,"['wa', 'na', 'la', 'la', 'an', 'i']"
kilitokana,"['ki', 'li', 'toka', 'toka', 'n', 'a']"
alikiuka,"['a', 'li', 'ki', 'uk', 'a']"
kujivika,"['ku', 'ji', 'vi', 'vi', 'k', 'a']"
unaofaa,"['u', 'na', 'o', 'fa', 'fa', 'a']"
limetokana,"['li', 'me', 'toka', 'toka', 'n', 'a']"
kumwoa,"['ku', 'mw', 'o', 'a']"
kinywani,"['ki', 'nywa', 'nywa', 'n', 'i']"
zilizoungana,"['zi', 'li', 'zo', 'unga', 'unga', 'n', 'a']"
wanaokutana,"['wa', 'na', 'o', 'kuta', 'kuta', 'n', 'a']"
mpakani,"['m', 'pa', 'k', 'a', 'ni']"
tuliona,"['tu', 'li', 'o', 'n', 'a']"
imeitaka,"['i', 'me', 'ita', 'ita', 'k', 'a']"
angeona,"['a', 'nge', 'o', 'n', 'a']"
anapingana,"['a', 'na', 'pinga', 'pinga', 'n', 'a']"
hazitokani,"['ha', 'zi', 'toka', 'toka', 'n', 'i']"
wakikubaliana,"['wa', 'ki', 'kubali', 'kubali', 'an', 'a']"
hakifai,"['ha', 'ki', 'fa', 'fa', 'i']"
waliokubaliana,"['wa', 'li', 'o', 'kubali', 'kubali', 'an', 'a']"
aliyedaiwa,"['a', 'li', 'ye', 'dai', 'dai', 'w', 'a']"
tuliyekuwa,"['tu', 'li', 'ye', 'ku', 'w', 'a']"
yatakayo,"['ya', 'ta', 'k', 'a', 'yo']"
anania,"['a', 'na', 'ni', 'ni', 'a']"
haufai,"['ha', 'u', 'fa', 'fa', 'i']"
simoni,"['si', 'mo', 'mo', 'n', 'i']"
litakutana,"['li', 'ta', 'kuta', 'kuta', 'n', 'a']"
kuwekana,"['ku', 'weka', 'weka', 'n', 'a']"
haifurahii,"['ha', 'i', 'furahi', 'furahi', 'i']"
atakosa,"['a', 'ta', 'ko', 'ko', 's', 'a']"
waunganana,"['wa', 'ungana', 'ungana', 'n', 'a']"
wakikutana,"['wa', 'ki', 'kuta', 'kuta', 'n', 'a']"
likikubaliwa,"['li', 'ki', 'kubali', 'kubali', 'w', 'a']"
yanayoendana,"['ya', 'na', 'yo', 'enda', 'enda', 'n', 'a']"
hawajakatazwa,"['ha', 'wa', 'ja', 'kata', 'kata', 'zw', 'a']"
kinachokataliwa,"['ki', 'na', 'cho', 'kata', 'kata', 'liw', 'a']"
ingekubalika,"['i', 'nge', 'kubali', 'kubali', 'k', 'a']"
wapangani,"['wa', 'panga', 'panga', 'n', 'i']"
itamua,"['i', 'ta', 'm', 'u', 'a']"
hapingani,"['ha', 'pinga', 'pinga', 'n', 'i']"
itakavyokuwa,"['i', 'taka', 'vyo', 'ku', 'w', 'a']"
kusimikwa,"['ku', 'si', 'm', 'ikw', 'a']"
hawajawa,"['ha', 'wa', 'ja', 'w', 'a']"
shani,"['sh', 'a', 'ni']"
wanakutana,"['wa', 'na', 'kuta', 'kuta', 'n', 'a']"
wakilia,"['wa', 'ki', 'li', 'a']"
kutegemeana,"['ku', 'tegemea', 'tegemea', 'n', 'a']"
anamini,"['a', 'na', 'm', 'i', 'ni']"
zikielea,"['zi', 'ki', 'ele', 'a']"
inauma,"['i', 'na', 'u', 'm', 'a']"
hujazwa,"['hu', 'ja', 'ja', 'zw', 'a']"
vimehifadhiwa,"['vi', 'me', 'hifadhi', 'hifadhi', 'w', 'a']"
wamejazana,"['wa', 'me', 'jaza', 'jaza', 'n', 'a']"
hawakubaliani,"['ha', 'wa', 'kubali', 'kubali', 'an', 'i']"
wauza,"['wa', 'u', 'z', 'a']"
litakalokuwa,"['li', 'taka', 'lo', 'ku', 'w', 'a']"
makasha,"['m', 'aka', 'aka', 'sh', 'a']"
wamegombana,"['wa', 'me', 'gomba', 'gomba', 'n', 'a']"
unakutana,"['u', 'na', 'kuta', 'kuta', 'n', 'a']"
iliyobakia,"['i', 'li', 'yo', 'baki', 'baki', 'a']"
hamisa,"['ha', 'm', 'i', 's', 'a']"
ameishi,"['a', 'me', 'i', 'sh', 'i']"
ilivyodaiwa,"['i', 'li', 'vyo', 'dai', 'dai', 'w', 'a']"
kukataza,"['ku', 'kata', 'kata', 'z', 'a']"
anayefaa,"['a', 'na', 'ye', 'fa', 'fa', 'a']"
ilikataa,"['i', 'li', 'kata', 'kata', 'a']"
ikikataa,"['i', 'ki', 'kata', 'kata', 'a']"
inavyokuwa,"['i', 'na', 'vyo', 'ku', 'w', 'a']"
wanaokuwa,"['wa', 'na', 'o', 'ku', 'w', 'a']"
waliotengana,"['wa', 'li', 'o', 'tenga', 'tenga', 'n', 'a']"
gomaa,"['goma', 'goma', 'a']"
akisubiriwa,"['a', 'ki', 'subiri', 'subiri', 'w', 'a']"
kumeza,"['ku', 'me', 'z', 'a']"
milimani,"['m', 'i', 'lima', 'lima', 'n', 'i']"
uzani,"['u', 'z', 'a', 'ni']"
tulia,"['tu', 'li', 'a']"
usukani,"['u', 'suka', 'suka', 'n', 'i']"
ilikubaliwa,"['i', 'li', 'kubali', 'kubali', 'w', 'a']"
somalia,"['soma', 'soma', 'li', 'a']"
yanadaiwa,"['ya', 'na', 'dai', 'dai', 'w', 'a']"
yanasadikika,"['ya', 'na', 'sadiki', 'sadiki', 'k', 'a']"
hayafanani,"['ha', 'ya', 'fa', 'fa', 'n', 'a', 'ni']"
yakome,"['ya', 'ko', 'ko', 'm', 'e']"
zilizosalia,"['zi', 'li', 'zo', 'sali', 'sali', 'a']"
kilawe,"['ki', 'la', 'la', 'w', 'e']"
ikakosa,"['i', 'ka', 'ko', 'ko', 's', 'a']"
wanaaminika,"['wa', 'na', 'amini', 'amini', 'k', 'a']"
anakoishi,"['a', 'na', 'ko', 'ko', 'ish', 'i']"
atakayekiuka,"['a', 'taka', 'ye', 'ki', 'uk', 'a']"
tukutane,"['tu', 'kuta', 'kuta', 'n', 'e']"
sikubaliani,"['si', 'kubali', 'kubali', 'an', 'i']"
anaondokana,"['a', 'na', 'ondoka', 'ondoka', 'n', 'a']"
isimani,"['i', 'si', 'm', 'an', 'i']"
kukutaka,"['ku', 'kuta', 'kuta', 'k', 'a']"
wanapokosana,"['wa', 'na', 'po', 'kosa', 'kosa', 'n', 'a']"
wanavyodhania,"['wa', 'na', 'vyo', 'dhani', 'dhani', 'a']"
tuachane,"['tu', 'acha', 'acha', 'n', 'e']"
anasa,"['a', 'na', 's', 'a']"
kuambukizana,"['ku', 'ambukiza', 'ambukiza', 'n', 'a']"
wakiishia,"['wa', 'ki', 'ishi', 'ishi', 'a']"
kijazi,"['ki', 'ja', 'ja', 'z', 'i']"
kiria,"['kiri', 'kiri', 'a']"
wamezaliwa,"['wa', 'meza', 'meza', 'liw', 'a']"
wasaidiane,"['wa', 'saidia', 'saidia', 'n', 'e']"
imetuma,"['i', 'me', 'tu', 'm', 'a']"
wamekua,"['wa', 'me', 'ku', 'a']"
unakua,"['u', 'na', 'ku', 'a']"
kusukumana,"['ku', 'sukuma', 'sukuma', 'n', 'a']"
kuongozana,"['ku', 'ongoza', 'ongoza', 'n', 'a']"
linalokua,"['li', 'na', 'lo', 'ku', 'a']"
kimisha,"['ki', 'm', 'ish', 'a']"
ulioisha,"['u', 'li', 'o', 'i', 'sh', 'a']"
kiani,"['ki', 'an', 'i']"
tukabaini,"['tu', 'kaba', 'kaba', 'i', 'ni']"
ametua,"['a', 'me', 'tu', 'a']"
ilipaa,"['i', 'li', 'pa', 'a']"
wanamalizana,"['wa', 'na', 'maliza', 'maliza', 'n', 'a']"
wataumana,"['wa', 'ta', 'uma', 'uma', 'n', 'a']"
ilikosa,"['i', 'li', 'ko', 'ko', 's', 'a']"
wanahitajika,"['wa', 'na', 'hitaji', 'hitaji', 'k', 'a']"
watakubaliana,"['wa', 'ta', 'kubali', 'kubali', 'an', 'a']"
inazo,"['i', 'n', 'a', 'zo']"
tunisia,"['tu', 'ni', 'si', 'si', 'a']"
auzwe,"['a', 'u', 'zw', 'e']"
hatufai,"['ha', 'tu', 'fa', 'fa', 'i']"
hakosi,"['ha', 'ko', 'ko', 's', 'i']"
wametua,"['wa', 'me', 'tu', 'a']"
imebakiwa,"['i', 'me', 'baki', 'baki', 'w', 'a']"
kuilaza,"['ku', 'i', 'la', 'la', 'z', 'a']"
zimalizane,"['zi', 'maliza', 'maliza', 'n', 'e']"
wamemalizana,"['wa', 'me', 'maliza', 'maliza', 'n', 'a']"
kinahitajika,"['ki', 'na', 'hitaji', 'hitaji', 'k', 'a']"
kuumana,"['ku', 'uma', 'uma', 'n', 'a']"
wametuma,"['wa', 'me', 'tu', 'm', 'a']"
atatua,"['a', 'ta', 'tu', 'a']"
iliilaza,"['i', 'li', 'i', 'la', 'la', 'z', 'a']"
hatukutaka,"['ha', 'tu', 'kuta', 'kuta', 'k', 'a']"
itakapokutana,"['i', 'taka', 'po', 'kuta', 'kuta', 'n', 'a']"
makasi,"['m', 'aka', 'aka', 's', 'i']"
mwasika,"['m', 'wa', 'si', 'si', 'k', 'a']"
panapokuwa,"['pa', 'na', 'po', 'ku', 'w', 'a']"
imebakisha,"['i', 'me', 'baki', 'baki', 'sh', 'a']"
zilipokutana,"['zi', 'li', 'po', 'kuta', 'kuta', 'n', 'a']"
itamkosa,"['i', 'ta', 'm', 'ko', 'ko', 's', 'a']"
kubakiwa,"['ku', 'baki', 'baki', 'w', 'a']"
kupania,"['ku', 'pa', 'ni', 'ni', 'a']"
amebakisha,"['a', 'me', 'baki', 'baki', 'sh', 'a']"
wataikosa,"['wa', 'ta', 'i', 'ko', 'ko', 's', 'a']"
zitakapokuwa,"['zi', 'taka', 'po', 'ku', 'w', 'a']"
kuivaa,"['ku', 'iva', 'iva', 'a']"
yangekuwa,"['ya', 'nge', 'ku', 'w', 'a']"
ilipokutana,"['i', 'li', 'po', 'kuta', 'kuta', 'n', 'a']"
zilitoshana,"['zi', 'li', 'tosha', 'tosha', 'n', 'a']"
kufungana,"['ku', 'funga', 'funga', 'n', 'a']"
ifikirie,"['i', 'fikiri', 'fikiri', 'e']"
alipogongana,"['a', 'li', 'po', 'gonga', 'gonga', 'n', 'a']"
kupaisha,"['ku', 'pa', 'ish', 'a']"
akikosa,"['a', 'ki', 'ko', 'ko', 's', 'a']"
kuukoa,"['ku', 'u', 'ko', 'ko', 'a']"
walizidisha,"['wa', 'li', 'zidi', 'zidi', 'sh', 'a']"
walikosa,"['wa', 'li', 'ko', 'ko', 's', 'a']"
wanaitaka,"['wa', 'na', 'ita', 'ita', 'k', 'a']"
zitakapoumana,"['zi', 'taka', 'po', 'uma', 'uma', 'n', 'a']"
zilizobakia,"['zi', 'li', 'zo', 'baki', 'baki', 'a']"
mkami,"['m', 'ka', 'm', 'i']"
kuilaki,"['ku', 'i', 'la', 'la', 'k', 'i']"
mkuki,"['m', 'ku', 'k', 'i']"
imepania,"['i', 'me', 'pa', 'ni', 'ni', 'a']"
wakiumana,"['wa', 'ki', 'uma', 'uma', 'n', 'a']"
mkiani,"['m', 'ki', 'an', 'i']"
inafurahisha,"['i', 'na', 'furahi', 'furahi', 'sh', 'a']"
imebakiza,"['i', 'me', 'baki', 'baki', 'z', 'a']"
kuizima,"['ku', 'i', 'zi', 'zi', 'm', 'a']"
watakapokutana,"['wa', 'taka', 'po', 'kuta', 'kuta', 'n', 'a']"
zitakutana,"['zi', 'ta', 'kuta', 'kuta', 'n', 'a']"
tunafurahia,"['tu', 'na', 'furahi', 'furahi', 'a']"
kutumainiwa,"['ku', 'tumaini', 'tumaini', 'w', 'a']"
watapigana,"['wa', 'ta', 'piga', 'piga', 'n', 'a']"
kuikosa,"['ku', 'i', 'ko', 'ko', 's', 'a']"
itataka,"['i', 'tata', 'tata', 'k', 'a']"
kuwalaza,"['ku', 'wa', 'la', 'la', 'z', 'a']"
ilizima,"['i', 'li', 'zi', 'm', 'a']"
walitulia,"['wa', 'li', 'tu', 'li', 'a']"
amepigana,"['a', 'me', 'piga', 'piga', 'n', 'a']"
amechoka,"['a', 'me', 'cho', 'k', 'a']"
alichoka,"['a', 'li', 'cho', 'k', 'a']"
ulipaa,"['u', 'li', 'pa', 'a']"
kuibadilisha,"['ku', 'i', 'badili', 'badili', 'sh', 'a']"
unaosubiriwa,"['u', 'na', 'o', 'subiri', 'subiri', 'w', 'a']"
ilitulia,"['i', 'li', 'tu', 'li', 'a']"
amosi,"['a', 'mo', 'mo', 's', 'i']"
minaki,"['m', 'i', 'na', 'na', 'k', 'i']"
wamebakia,"['wa', 'me', 'baki', 'baki', 'a']"
hajawa,"['ha', 'ja', 'w', 'a']"
utakaokuwa,"['u', 'taka', 'o', 'ku', 'w', 'a']"
inawania,"['i', 'na', 'wa', 'ni', 'ni', 'a']"
zinapokutana,"['zi', 'na', 'po', 'kuta', 'kuta', 'n', 'a']"
kunakuwa,"['ku', 'na', 'ku', 'w', 'a']"
kupasiwa,"['ku', 'pa', 'si', 'si', 'w', 'a']"
lililojaa,"['li', 'li', 'lo', 'ja', 'ja', 'a']"
